date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"February 24, 2018",North Carolina,Winston Salem (Winston-salem),810 Akron Dr,0,1,http://www.gunviolencearchive.org/incident/1057705,http://www.greensboro.com/news/crime/man-shot-in-brawl-at-winston-salem-sweepstakes-parlor-police/article_7c224af9-29fb-54da-b3e4-60262743d1e2.html
"February 24, 2018",Pennsylvania,Philadelphia,7300 block of Theodore St,0,1,http://www.gunviolencearchive.org/incident/1056932,http://6abc.com/man-shot-in-neck-in-southwest-philadelphia/3137829/
"February 24, 2018",Texas,Fort Worth,5200 block of Dorman St,0,1,http://www.gunviolencearchive.org/incident/1056938,http://www.star-telegram.com/news/local/community/fort-worth/article202054539.html
"February 24, 2018",Florida,Jacksonville,Alderman Rd,0,1,http://www.gunviolencearchive.org/incident/1056943,https://www.news4jax.com/news/police-person-shot-driving-down-alderman-road
"February 24, 2018",Minnesota,Bayport,500 block of Minnesota St S,0,0,http://www.gunviolencearchive.org/incident/1056924,https://www.facebook.com/pg/PoliceClips/posts/?ref=page_internal
"February 24, 2018",Alabama,Mulga,Mulga Loop Road,1,0,http://www.gunviolencearchive.org/incident/1058831,http://www.wbrc.com/story/37587020/jeffco-sheriffs-office-investigating-body-found-in-fire-as-a-homicide
"February 24, 2018",Minnesota,Minneapolis (Edina),5700 block of Tracy Ave,0,0,http://www.gunviolencearchive.org/incident/1056923,https://www.facebook.com/pg/PoliceClips/posts/?ref=page_internal
"February 24, 2018",Minnesota,Saint Paul,1600 block of White Bear Ave,0,1,http://www.gunviolencearchive.org/incident/1056934,http://minnesota.cbslocal.com/2018/02/24/white-bear-ave-shooting/
"February 24, 2018",Wisconsin,Milwaukee,N 41st St and W Center St,1,0,http://www.gunviolencearchive.org/incident/1056985,http://www.cbs58.com/news/mpd-investigating-fatal-shooting-saturday-night
"February 24, 2018",Alabama,Mobile (Prichard),3425 St Stephens Rd,0,1,http://www.gunviolencearchive.org/incident/1057411,http://www.wkrg.com/news/mobile-county/police-presence-at-st-stephens-woods-apartments/989990347
"February 24, 2018",Kentucky,Lexington,Third Street and Holbrook Court,1,0,http://www.gunviolencearchive.org/incident/1056351,http://www.lex18.com/story/37581897/man-in-critical-condition-after-being-found-shot-on-lexingtons-east-side
"February 24, 2018",Florida,Bradenton,6500 block of Anchor Loop,0,1,http://www.gunviolencearchive.org/incident/1056991,http://www.bradenton.com/news/local/crime/article202003824.html
"February 24, 2018",Ohio,Perry,Maple St and S Ridge Rd,3,0,http://www.gunviolencearchive.org/incident/1056263,http://fox8.com/2018/02/24/three-dead-in-murder-suicide-in-lake-county/
"February 24, 2018",Wisconsin,Madison,4800 block of Hayes Rd,0,0,http://www.gunviolencearchive.org/incident/1056976,http://www.cityofmadison.com/police/newsroom/incidentreports/incident.cfm?id=20581
"February 24, 2018",North Carolina,Charlotte,Brookshire Boulevard,0,1,http://www.gunviolencearchive.org/incident/1057010,http://www.wbtv.com/story/37583649/man-shot-injured-in-northwest-charlotte
"February 24, 2018",Pennsylvania,Lancaster,900 block of Union St,0,0,http://www.gunviolencearchive.org/incident/1058429,http://lancasteronline.com/news/policelog/lancaster-county-police-log-tuesday-feb/article_2864233a-1b70-11e8-81ed-67b2d5f0c82c.html
"February 24, 2018",Tennessee,Memphis,5000 block of Summer Ave,0,1,http://www.gunviolencearchive.org/incident/1057025,http://wreg.com/2018/02/24/man-in-critical-condition-after-summer-avenue-shooting/
"February 24, 2018",Ohio,Columbus,1900 block of Maryland Ave,0,2,http://www.gunviolencearchive.org/incident/1057027,http://nbc4i.com/2018/02/24/columbus-police-two-injured-in-shooting-on-near-east-side/
"February 24, 2018",Ohio,Cleveland,E 61st St and Fleet Ave,0,1,http://www.gunviolencearchive.org/incident/1058431,http://www.cleveland.com/metro/index.ssf/2018/02/wanted_akron_pimp_shot_through.html#incart_river_index
"February 24, 2018",Texas,Sulphur Springs,500 block of Pampa St,1,0,http://www.gunviolencearchive.org/incident/1057835,http://www.kltv.com/story/37591898/officials-identify-victim-suspect-in-saturday-murder-investigation-in-sulphur-springs
"February 24, 2018",Tennessee,Knoxville,10000 block of Missoula Way,1,0,http://www.gunviolencearchive.org/incident/1057040,http://www.wvlt.tv/content/news/Knox-County-Sheriffs-Office-investigating-apparent-homicide--475048213.html
"February 24, 2018",Ohio,Dayton,700 block of Ferguson Ave,0,1,http://www.gunviolencearchive.org/incident/1057045,http://www.daytondailynews.com/news/crime--law/dayton-police-investigate-shooting-after-victim-shows-hospital/AWO2bZTCWI8mPFG8jrUhPP/
"February 24, 2018",Mississippi,Jackson,3900 block of Bishop Avenue,1,1,http://www.gunviolencearchive.org/incident/1056400,http://www.wapt.com/article/jackson-police-investigate-deadly-shooting-into-house/18708524
"February 24, 2018",Ohio,Columbus,1700 block of Maryland Avenue,0,2,http://www.gunviolencearchive.org/incident/1057063,https://www.10tv.com/article/2-people-identified-after-being-injured-east-columbus-shooting
"February 24, 2018",Pennsylvania,Monongahela,Maple Dr and PA-88,0,0,http://www.gunviolencearchive.org/incident/1059149,https://observer-reporter.com/news/policebeat/police-beat-feb/article_b521870a-1a9d-11e8-bb17-0f5a9f171d09.html
"February 2, 2018",California,Wasco,1400 block of D St,0,0,http://www.gunviolencearchive.org/incident/1041824,https://www.turnto23.com/news/local-news/wasco-deputies-probation-officers-arrest-two-for-weapons-violations
"February 2, 2018",North Carolina,Rowland,Union School Rd,0,1,http://www.gunviolencearchive.org/incident/1041831,http://wpde.com/news/local/one-person-shot-in-rowland-area-of-robeson-county
"February 2, 2018",California,Wilmington,W Opp St and N Fries Ave,0,1,http://www.gunviolencearchive.org/incident/1041829,http://losangeles.cbslocal.com/2018/02/02/no-officers-hurt-in-officer-involved-shooting-in-wilmington/
"February 2, 2018",California,Los Angeles,615 Normandie Ave,0,0,http://www.gunviolencearchive.org/incident/1052985,https://www.atf.gov/news/pr/former-supervisory-united-states-border-patrol-agent-found-guilty-multiple-firearm-offenses
"February 2, 2018",Ohio,Troy,1200 block of S Dorset Rd,0,0,http://www.gunviolencearchive.org/incident/1047021,http://www.tdn-net.com/news/35458/piqua-man-facing-drugs-weapons-charges
"February 2, 2018",Utah,Springville,700 S Main St,0,0,http://www.gunviolencearchive.org/incident/1041929,https://www.pressherald.com/2018/02/04/good-samaritan-with-gun-thwarts-attack-on-utah-officer/
"February 2, 2018",Nevada,Carson City,1300 block of W. Washington Street,0,0,http://www.gunviolencearchive.org/incident/1046496,http://mynews4.com/news/local/two-suspects-sought-in-theft-of-guns-from-carson-city-home
"February 2, 2018",Louisiana,New Orleans,2800 block of S Johnson St,1,0,http://www.gunviolencearchive.org/incident/1041888,http://www.nola.com/crime/index.ssf/2018/02/central_city_murder_joshua_eve.html
"February 2, 2018",Oklahoma,Savanna,N/A,0,0,http://www.gunviolencearchive.org/incident/1046520,http://www.mcalesternews.com/news/two-charged-after-shot-fired/article_9a2b4012-0c56-11e8-9a73-5ba143717b49.html
