date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"September 1, 2014",Louisiana,New Orleans, 2600 block of Poydras Street,0,1,http://www.gunviolencearchive.org/incident/185034,http://www.nola.com/crime/index.ssf/2014/09/nopd_investigating_mid_city_la.html#incart_river
"September 1, 2014",Delaware,Wilmington,Taylor and Pine Streets,0,1,http://www.gunviolencearchive.org/incident/184885,http://www.delawareonline.com/story/news/crime/2014/09/02/man-shot-on-wilmingtons-east-side/14952385/
"September 1, 2014",Missouri,Ferguson,West Florissant Avenue,0,0,http://www.gunviolencearchive.org/incident/184726,http://www.stltoday.com/news/local/crime-and-courts/man-on-horseback-helps-ferguson-police-catch-suspect/article_6ebdff50-01bf-5441-87cd-ff427b7adb0b.html
"September 1, 2014",South Carolina,Columbia,Miriam Avenue,0,1,http://www.gunviolencearchive.org/incident/184576,http://www.thestate.com/2014/09/22/3697783_man-accused-of-shooting-brother.html
"September 1, 2014",California,Oakland,500 22nd Street,0,0,http://www.gunviolencearchive.org/incident/216003,https://data.oaklandnet.com/Public-Safety/CrimeWatch-Maps-Past-90-Days/ym6k-rx7a
"September 1, 2014",Ohio,Maple Heights,5322 Warrensville Center Road.,0,1,http://www.gunviolencearchive.org/incident/184372,http://www.19actionnews.com/story/26422073/one-injured-in-maple-heights-shooting
"September 1, 2014",Arkansas,Benton,570 Latimer Drive,0,1,http://www.gunviolencearchive.org/incident/187700,http://www.arkansasonline.com/news/2014/sep/02/benton-police-investigate-labor-day-shooting/
"September 1, 2014",New Mexico,Albuquerque,6800 Oakland Avenue NE ,0,1,http://www.gunviolencearchive.org/incident/184172,http://www.kob.com/article/stories/S3547958.shtml
"September 1, 2014",Pennsylvania,York,800 block of W. Princess Street,0,3,http://www.gunviolencearchive.org/incident/185935,http://www.abc27.com/story/26450053/york-police-charge-teen-injured-in-shooting
"September 1, 2014",Michigan,Lansing,700 block of West Lenawee Street,0,1,http://www.gunviolencearchive.org/incident/183984,http://www.lansingstatejournal.com/story/news/local/2014/09/01/early-morning-shooting-leaves-man-critical-condition/14926369/
"September 1, 2014",Pennsylvania,Franklin (county),N/A,0,0,http://www.gunviolencearchive.org/incident/868382,https://www.justice.gov/usao-mdpa/pr/franklin-county-man-sentenced-75-months-conspiracy-distribute-heroin-and-possession
"September 1, 2014",Pennsylvania,Harrisburg,3200 block of Sycamore St,0,0,http://www.gunviolencearchive.org/incident/185944,http://www.abc27.com/story/26446569/harrisburg-man-arrested-for-armed-robberies-in-swatara-township
"September 1, 2014",Illinois,Alton,Pearl Street and East Broadway,0,0,http://www.gunviolencearchive.org/incident/185229,http://www.thetelegraph.com/news/news/50250414/Motorcyclists-say-man-pointed-gun-at-them#.VAeyg0i6DJw
"September 1, 2014",Pennsylvania,Philadelphia,Lancaster Avenue near N. 41st Street,0,1,http://www.gunviolencearchive.org/incident/275854,http://philadelphia.cbslocal.com/2014/09/02/suspect-wanted-in-connection-to-overnight-shooting-in-mantua/
"September 1, 2014",Pennsylvania,Philadelphia,100 block of W. Ashmed Street,0,1,http://www.gunviolencearchive.org/incident/275729,http://guncrisis.org/2014/08/29/holiday-weekend-live-blog/
"September 1, 2014",Wisconsin,Milwaukee,W National Ave and S 2nd St,1,0,http://www.gunviolencearchive.org/incident/183773,http://fox6now.com/2014/09/02/police-15-year-old-known-gang-member-is-victim-of-fatal-shooting-at-2nd-national-five-other-teens-
"September 1, 2014",Louisiana,Lafayette,N/A,0,0,http://www.gunviolencearchive.org/incident/417354,https://www.fbi.gov/neworleans/press-releases/2015/lafayette-man-pleads-guilty-to-possessing-eight-stolen-firearms-in-home
"September 1, 2014",South Carolina,Greenville,McGee Street,1,1,http://www.gunviolencearchive.org/incident/184567,http://www.foxcarolina.com/story/28613885/officer-who-was-shot-by-accused-thrill-killer-back-on-duty-in-greenville
"September 1, 2014",South Carolina,Greenville,18 Augusta Court,1,0,http://www.gunviolencearchive.org/incident/184558,http://www.greenvilleonline.com/story/news/crime/2014/09/13/call-signaled-beginning-crime-spree/15613431/
"September 1, 2014",Alabama,Selma,1300 block of Alabama Ave,0,0,http://www.gunviolencearchive.org/incident/186796,http://www.selmatimesjournal.com/2014/09/01/four-charged-in-connection-with-labor-day-shooting/
"September 1, 2014",Pennsylvania,Philadelphia,10th Street and Thompson Street,0,1,http://www.gunviolencearchive.org/incident/275524,http://guncrisis.org/2014/08/29/holiday-weekend-live-blog/
"September 1, 2014",Florida,Newberry,3707 NW County Road 235,0,2,http://www.gunviolencearchive.org/incident/189504,http://www.gainesville.com/article/20140902/ARTICLES/140909960/1150/news09
"September 1, 2014",Pennsylvania,Pittsburgh,N/A,0,0,http://www.gunviolencearchive.org/incident/798657,https://www.justice.gov/usao-wdpa/pr/pittsburgh-felon-sentenced-4-years-federal-prison-illegal-gun-possession
"September 1, 2014",Indiana,East Chicago,4800 block of Alexander Street,0,1,http://www.gunviolencearchive.org/incident/184020,http://www.chicagotribune.com/suburbs/post-tribune/crime/ct-ptb-osborne-and-smith-st-0725-20150724-story.html
"September 1, 2014",Iowa,Waterloo,Archer Avenue,0,0,http://www.gunviolencearchive.org/incident/275212,http://wcfcourier.com/news/local/crime-and-courts/alleged-waterloo-gang-member-pleads-to-gun-charge/article_2e9eb931-a0d6-5d55-99d4-db3155cd6bfe.html
"September 1, 2014",Pennsylvania,Philadelphia,N/A,0,0,http://www.gunviolencearchive.org/incident/275717,http://guncrisis.org/2014/08/29/holiday-weekend-live-blog/
"September 1, 2014",Pennsylvania,Philadelphia,N. Stillman Street near W. Cambria and 25th Streets,0,1,http://www.gunviolencearchive.org/incident/275719,http://guncrisis.org/2014/08/29/holiday-weekend-live-blog/
"September 1, 2014",South Carolina,Taylors,Stallings Road,1,0,http://www.gunviolencearchive.org/incident/184548,http://www.foxcarolina.com/story/26422200/swat-called-to-taylors-residence-dispatch-confirms
"September 1, 2014",Pennsylvania,Philadelphia,N. 5th Street and Roosevelt Boulevard,0,1,http://www.gunviolencearchive.org/incident/275721,http://www.nbcphiladelphia.com/news/local/Olney-Boulevard-Shooting-273432481.html
"September 1, 2014",Pennsylvania,Philadelphia,Rutledge Street near Indiana Avenue and C Street,1,0,http://www.gunviolencearchive.org/incident/275723,http://guncrisis.org/2014/08/29/holiday-weekend-live-blog/
"September 1, 2014",Pennsylvania,Mechanicsburg,2150 Bumble Bee Hollow Rd,1,0,http://www.gunviolencearchive.org/incident/183819,http://www.pennlive.com/midstate/index.ssf/2014/09/upper_allen_twp_shooting_suici.html#incart_river
"September 1, 2014",Pennsylvania,Philadelphia,70th Street and W. Passyunk Avenue,0,1,http://www.gunviolencearchive.org/incident/275734,http://guncrisis.org/2014/08/29/holiday-weekend-live-blog/
"September 1, 2014",Pennsylvania,Philadelphia,W. Bristol Street near N. 17th Street,0,1,http://www.gunviolencearchive.org/incident/275762,http://guncrisis.org/2014/08/29/holiday-weekend-live-blog/
"September 1, 2014",Tennessee,Rutledge,329 Wildlife Way,0,1,http://www.gunviolencearchive.org/incident/184236,http://www.wate.com/story/26422316/knoxville-boy-shoots-himself-while-dove-hunting-in-rutledge
"September 1, 2014",New York,Schenectady,Catherine Street and Victory Avenue,1,0,http://www.gunviolencearchive.org/incident/298089,http://www.timesunion.com/news/article/Man-arraigned-for-Labor-Day-slaying-6103718.php
"September 1, 2014",New York,Bronx,Davidson Avenue and Evelyn Place,0,1,http://www.gunviolencearchive.org/incident/186340,http://bronx.news12.com/news/gunman-wanted-for-shooting-20-year-old-in-university-heights-1.9203940
"September 1, 2014",California,Los Angeles,Vermont Avenue ,0,0,http://www.gunviolencearchive.org/incident/184487,http://www.nbclosangeles.com/news/local/Two-Killed-One-Wounded-in-Separate-South-LA-Shootings-273501401.html
"September 1, 2014",Kansas,Wichita,13th and Hillside,0,1,http://www.gunviolencearchive.org/incident/184836,http://www.kansas.com/news/local/crime/article1429997.html
"September 1, 2014",Georgia,Statesboro,N/A,0,0,http://www.gunviolencearchive.org/incident/185498,http://www.statesboroherald.com/section/250/article/63342/
"September 1, 2014",California,Los Angeles,6402 South Victoria St,0,2,http://www.gunviolencearchive.org/incident/184261,http://www.dailynews.com/general-news/20140901/drive-by-shooting-in-hyde-park-injures-2
"September 1, 2014",Georgia,Atlanta,1100 block of Huff Road,0,0,http://www.gunviolencearchive.org/incident/193170,http://www.reporternewspapers.net/2014/10/03/buckhead-police-blotter-hand-money/
"September 1, 2014",North Carolina,Robeson County,N/A,0,1,http://www.gunviolencearchive.org/incident/184826,http://www.walb.com/story/26431134/fbi-agents-investigates-officer-involved-shooting-in-robeson-county
"September 1, 2014",South Carolina,Myrtle Beach,Highway 15,0,0,http://www.gunviolencearchive.org/incident/185450,http://www.wmbfnews.com/story/26441054/three-wanted-for-burglarizing-convenience-store
"September 1, 2014",Texas,Fort Worth,600 block of Sandy Trail,0,1,http://www.gunviolencearchive.org/incident/184251,http://www.nbcdfw.com/news/local/Man-Critically-Injured-in-Fort-Worth-Shooting-273478211.html
"September 1, 2014",Alabama,Birmingham,5900 Messer Airport Hwy,0,0,http://www.gunviolencearchive.org/incident/192477,http://blog.tsa.gov/2014/09/tsa-week-in-review-35-loaded-firearms.html
"September 1, 2014",North Carolina,Goldsboro,600 block of Devereaux Street,1,0,http://www.gunviolencearchive.org/incident/184823,http://abc11.com/news/man-killed-in-goldsboro-shooting/290898/
"September 1, 2014",Mississippi,Meridian,2428 Old Marion Rd,0,1,http://www.gunviolencearchive.org/incident/185313,http://www.meridianstar.com/news/article_85b2313c-3314-11e4-a0d1-001a4bcf887a.html
"September 1, 2014",Georgia,Columbus,Gentian Boulevard,0,0,http://www.gunviolencearchive.org/incident/184061,http://www.ledger-enquirer.com/2014/09/01/3277305_two-people-victims-of-armed-robberies.html
"September 1, 2014",Georgia,Atlanta,6000 N Terminal Pkwy,0,0,http://www.gunviolencearchive.org/incident/192466,http://blog.tsa.gov/2014/09/tsa-week-in-review-35-loaded-firearms.html
"September 1, 2014",Illinois,Chicago,600 block of East 133rd Street,0,1,http://www.gunviolencearchive.org/incident/184663,http://www.dnainfo.com/chicago/20140902/chicago/three-dead-29-wounded-over-labor-day-weekend
"September 1, 2014",Iowa,Des Moines,4200 block of Park Avenue,0,0,http://www.gunviolencearchive.org/incident/184975,http://www.desmoinesregister.com/story/news/crime-and-courts/2014/09/02/police-investigate-related-robbery-home-invasion/14956529/
"September 1, 2014",Georgia,Columbus,Wagner Drive,0,0,http://www.gunviolencearchive.org/incident/184057,http://www.ledger-enquirer.com/2014/09/01/3277305_two-people-victims-of-armed-robberies.html
"September 1, 2014",North Carolina,Whiteville,Nolan Avenue ,0,1,http://www.gunviolencearchive.org/incident/186566,http://www.wect.com/story/26443913/man-uncooperative-after-being-shot-in-leg
"September 1, 2014",Florida,Dade City,13500 Center St.,0,2,http://www.gunviolencearchive.org/incident/184660,http://tbo.com/news/crime/two-involved-in-shooting-outside-dade-city-bar-20140902/
"September 1, 2014",Iowa,Des Moines,4200 block of Park Avenue,0,0,http://www.gunviolencearchive.org/incident/184968,http://www.desmoinesregister.com/story/news/crime-and-courts/2014/09/02/police-investigate-related-robbery-home-invasion/14956529/
"September 1, 2014",District of Columbia,Washington,39th Street and Davis Place NW,0,0,http://www.gunviolencearchive.org/incident/183895,https://twitter.com/DCPoliceDept/status/506336051875827712
"September 1, 2014",New York,Bronx,N/A,0,2,http://www.gunviolencearchive.org/incident/186343,http://bronx.news12.com/news/police-4-suspects-wanted-after-teen-and-adult-are-shot-at-mott-haven-houses-1.9201851
"September 1, 2014",California,Los Angeles,South Normandie and West Manchester ,0,1,http://www.gunviolencearchive.org/incident/184489,http://www.nbclosangeles.com/news/local/Two-Killed-One-Wounded-in-Separate-South-LA-Shootings-273501401.html
"September 1, 2014",District of Columbia,Washington,11th and Kenyon Street NW,0,0,http://www.gunviolencearchive.org/incident/184951,https://twitter.com/DCPoliceDept/status/506550188551704577
"September 1, 2014",Ohio,Columbus,3700 block of Barkwillow Lane,0,0,http://www.gunviolencearchive.org/incident/183884,http://www.nbc4i.com/story/26418354/no-injuries-reported-after-columbus-home-shot-twice
"September 1, 2014",Arizona,Tucson,Circle near Golf Links and Wilmont,0,0,http://www.gunviolencearchive.org/incident/187091,http://www.jrn.com/kgun9/news/Police-investigating-strong-armed-robbery-273507371.html
"September 1, 2014",California,San Diego,1025 E. Euclid Avenue ,0,0,http://www.gunviolencearchive.org/incident/184512,http://www.cbs8.com/story/26425327/2-suspects-sought-gas-station-armed-robbery
"September 1, 2014",Delaware,New Castle County,100 block of Elliot Street,0,0,http://www.gunviolencearchive.org/incident/184883,http://www.delawareonline.com/story/news/crime/2014/09/02/shots-fired-whispering-pines/14961199/
"September 1, 2014",Iowa,Waterloo,Glenwood Street,0,0,http://www.gunviolencearchive.org/incident/185720,http://wcfcourier.com/news/local/crime-and-courts/more-gunfire-overnight-in-waterloo/article_24fb537d-c42b-5e55-9cf8-17b7eeac5535.html
"September 1, 2014",Missouri,Pine Lawn,6200 block of Greyling ,0,0,http://www.gunviolencearchive.org/incident/184339,http://www.kmov.com/news/local/Police-Suspects-flash-guns-at-officers-flee-scene-in-North-County-273442981.html
"September 1, 2014",California,Oakland,1600 82nd Avenue,0,0,http://www.gunviolencearchive.org/incident/215879,https://data.oaklandnet.com/Public-Safety/CrimeWatch-Maps-Past-90-Days/ym6k-rx7a
"September 1, 2014",North Carolina,Sampson County,Sampson Boykin Lane,0,1,http://www.gunviolencearchive.org/incident/184882,http://www.fayobserver.com/news/crime_courts/deputies-looking-for-gunman-in-sampson-county-shooting/article_2638e979-9414-5f96-ba15-8e495d9fc2d2.html
"September 1, 2014",Kansas,Wichita,4520 E. 47th South,0,1,http://www.gunviolencearchive.org/incident/185700,http://www.kansas.com/news/local/crime/article1430417.html
"September 1, 2014",North Carolina,Sanford,Andrews Drive ,0,1,http://www.gunviolencearchive.org/incident/184319,http://abc11.com/news/sanford-police-investigate-shooting/290368/
"September 1, 2014",California,Oakland,2800 MacArthur Boulevard,0,0,http://www.gunviolencearchive.org/incident/215876,https://data.oaklandnet.com/Public-Safety/CrimeWatch-Maps-Past-90-Days/ym6k-rx7a
"September 1, 2014",Tennessee,Knoxville,4000 block of Larigo Drive,0,0,http://www.gunviolencearchive.org/incident/184876,http://www.wate.com/story/26422412/officers-respond-after-multiple-gunshots-fired-at-home-in-north-knoxville
"September 1, 2014",New Jersey,Trenton,750 Brunswick Ave,0,0,http://www.gunviolencearchive.org/incident/185681,http://www.nj.com/mercer/index.ssf/2014/09/trenton_man_charged_with_making_terroristic_threat_after_bringing_shotgun_to_hospital.html#incart_river
