date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"June 1, 2015",Missouri,Sikeston,815 Ruth Street,0,1,http://www.gunviolencearchive.org/incident/351914,http://www.semissourian.com/story/2201053.html
"June 1, 2015",Tennessee,Nashville,Old Lebanon Dirt Road,0,0,http://www.gunviolencearchive.org/incident/352420,http://wkrn.com/2015/06/03/metro-police-believe-4-carjacking-assault-cases-are-related/
"June 1, 2015",Pennsylvania,Philadelphia,57th Street and Hazel Avenue,1,0,http://www.gunviolencearchive.org/incident/352212,http://6abc.com/news/man-dies-after-west-philadelphia-shooting/761577/
"June 1, 2015",Missouri,Sikeston,940 South Kingshighway,0,0,http://www.gunviolencearchive.org/incident/354052,http://www.semissourian.com/story/2201029.html
"June 1, 2015",Washington,Tacoma,South Ferry Street,0,0,http://www.gunviolencearchive.org/incident/468063,http://www.seattlepi.com/local/crime/article/Charges-Tacoma-abuser-caught-with-machine-gun-6706195.php
"June 1, 2015",District of Columbia,Washington,5000 block of Just Street NE,0,1,http://www.gunviolencearchive.org/incident/351805,https://twitter.com/DCPoliceDept/status/605497738172727297
"June 1, 2015",District of Columbia,Washington,3800 block of South Capitol Street SE,0,1,http://www.gunviolencearchive.org/incident/351808,https://twitter.com/DCPoliceDept/status/605548527406694400
"June 1, 2015",Georgia,Athens,Baxter Drive,0,0,http://www.gunviolencearchive.org/incident/354884,http://onlineathens.com/breaking-news/2015-06-09/arrest-made-gang-shootout-west-athens
"June 1, 2015",Colorado,Pueblo (Blende),1200 block of Roselawn Road,0,1,http://www.gunviolencearchive.org/incident/356839,http://www.chieftain.com/news/crime/3650924-120/deputies-roybal-incident-inflicted
"June 1, 2015",Tennessee,Johnson City,1107 Althea St.,0,0,http://www.gunviolencearchive.org/incident/351210,http://www.johnsoncitypress.com/article/126950/police-johnson-city-man-tried-to-give-back-stolen-gun-iphone
"June 1, 2015",District of Columbia,Washington,New Jersey and C Street,0,0,http://www.gunviolencearchive.org/incident/350633,http://www.wusa9.com/story/news/local/dc/2015/06/01/man-gun-longworth-house-office-building/28299677/
"June 1, 2015",North Carolina,Hickory,8th Ave Drive SE,1,0,http://www.gunviolencearchive.org/incident/351152,http://www.wmcactionnews5.com/story/29355628/da-3-charged-in-connection-to-2-catawba-co-shooting-deaths
"June 1, 2015",District of Columbia,Washington,4500 block of Benning Road SE,0,1,http://www.gunviolencearchive.org/incident/350640,https://twitter.com/DCPoliceDept/status/605403897541345280
"June 1, 2015",Texas,Dallas,3300 block of Al Lipscomb Way,1,0,http://www.gunviolencearchive.org/incident/350845,http://www.nbcdfw.com/news/local/Man-Dies-After-Being-Shot-While-Sitting-in-His-Car-305900751.html
"June 1, 2015",Kentucky,Bell (county),Highway 3482,1,0,http://www.gunviolencearchive.org/incident/351815,http://www.wkyt.com/wymt/home/headlines/Investigation-underway-following-deadly-shooting-in-Bell-County-305948861.html
"June 1, 2015",Oregon,Lebanon,N/A,0,0,http://www.gunviolencearchive.org/incident/399050,https://www.flashalert.net/news.html?id=2993
"June 1, 2015",Delaware,Wilmington,Bedford Drive,0,1,http://www.gunviolencearchive.org/incident/351823,http://6abc.com/news/stray-bullet-hits-crib-holding-sleeping-baby-in-delaware/761451/
"June 1, 2015",Delaware,Wilmington,100 block of North Broom Street,0,1,http://www.gunviolencearchive.org/incident/351825,http://6abc.com/news/man-found-shot-in-wilmington-del/762136/
"June 1, 2015",Delaware,Wilmington,500 block of E. 10th St.,0,0,http://www.gunviolencearchive.org/incident/350696,http://www.delawareonline.com/story/news/crime/2015/06/01/resident-alerts-police-gunman-arrested-chase/28301039/
"June 1, 2015",Nevada,Sparks,N/A,0,0,http://www.gunviolencearchive.org/incident/350699,http://www.ktvn.com/story/29209548/three-sparks-schools-on-lockdown-following-gun-theft1
"June 1, 2015",Massachusetts,Boston,750 Morton Street,0,1,http://www.gunviolencearchive.org/incident/350704,http://www.necn.com/news/new-england/Man-Shot-in-Boston-305728831.html
"June 1, 2015",New Mexico,Albuquerque,2100 block of Coal Place SE,0,1,http://www.gunviolencearchive.org/incident/350797,http://www.kob.com/article/stories/s3814220.shtml
"June 1, 2015",Texas,Houston,6215 Heatherbloom,1,0,http://www.gunviolencearchive.org/incident/350729,http://thepolicenews.net/default.aspx?act=Newsletter.aspx&category=News+1-2&newsletterid=53811&menugroup=Home
"June 1, 2015",Connecticut,Stratford,Lordship Boulevard,0,0,http://www.gunviolencearchive.org/incident/398739,http://www.ctpost.com/news/article/Ex-cop-arrested-on-DUI-gun-charges-6455812.php
"June 1, 2015",Maryland,Baltimore,5200 block of Belair Road,0,1,http://www.gunviolencearchive.org/incident/351840,http://www.baltimoresun.com/news/maryland/crime/blog/bs-md-ci-shooting-20150601-story.html
"June 1, 2015",North Carolina,Charlotte,West Mallard Creek,0,0,http://www.gunviolencearchive.org/incident/350706,http://www.wbtv.com/story/29203765/search-for-gunman-underway-after-officer-shot-at-in-northeast-charlotte
"June 1, 2015",Tennessee,Alcoa,Oersted Road and Ford Road,0,1,http://www.gunviolencearchive.org/incident/350512,http://wate.com/2015/06/04/3-adults-2-juveniles-charged-in-alcoa-drug-deal-that-led-to-shooting/
"June 1, 2015",Iowa,Waterloo,N/A,0,0,http://www.gunviolencearchive.org/incident/1015101,http://wcfcourier.com/news/local/crime-and-courts/update-waterloo-men-sentenced-on-federal-gun-charges/article_693d1041-757a-53ff-a612-ffd704d8d1b8.html
"June 1, 2015",California,Richmond,2600 block of McBryde Avenue,1,0,http://www.gunviolencearchive.org/incident/351079,http://www.insidebayarea.com/breaking-news/ci_28236048/richmond-police-arrest-suspect-shooting-death-54-year
"June 1, 2015",California,Atwater,800 block of Broadway Avenue,0,0,http://www.gunviolencearchive.org/incident/351101,http://www.mercedsunstar.com/news/local/crime/article22950459.html
"June 1, 2015",California,San Marcos,1145 Barham Drive,2,0,http://www.gunviolencearchive.org/incident/351102,http://www.osidenews.com/2015/06/02/two-found-dead-after-report-of-shooting-in-san-marcos/
"June 1, 2015",Georgia,Columbus,2700 block of Lee Street,0,1,http://www.gunviolencearchive.org/incident/350528,http://www.ledger-enquirer.com/2015/06/01/3747632_man-charged-in-lee-street-shooting.html?rh=1
"June 1, 2015",California,Los Angeles,700 block of South Vermont Avenue,0,2,http://www.gunviolencearchive.org/incident/350540,http://www.nbclosangeles.com/news/local/Shooting-Victims-Koreatown-305753081.html
"June 1, 2015",California,Tulare,304 South C Street,0,0,http://www.gunviolencearchive.org/incident/351709,http://www.fresnobee.com/news/local/crime/article23031153.html
"June 1, 2015",North Carolina,Fayetteville,600 block of Eastern Boulevard,0,2,http://www.gunviolencearchive.org/incident/351232,http://www.fayobserver.com/news/crime_courts/attempted-murder-human-trafficking-charges-filed/article_101205e8-18a5-5f1e-9763-dd142a2edfe3.html
"June 1, 2015",Tennessee,Memphis,3300 block of Ridgemont Avenue,0,0,http://www.gunviolencearchive.org/incident/350571,http://www.wmcactionnews5.com/story/29211240/police-investigate-possible-kidnapping-on-ridgemont-avenue
"June 1, 2015",South Carolina,Simpsonville,N/A,0,0,http://www.gunviolencearchive.org/incident/350584,http://www.foxcarolina.com/story/29207109/simpsonville-police-seek-armed-dangerous-suspect-after-morning-traffic-stop
"June 1, 2015",Connecticut,Hartford,131 Martin Street,0,1,http://www.gunviolencearchive.org/incident/351138,http://www.nbcconnecticut.com/news/local/Police-Find-Casings-from-3-Guns-After-Man-Is-Shot-in-Head--305819291.html
"June 1, 2015",Massachusetts,Springfield,49 Eagle Street,0,0,http://www.gunviolencearchive.org/incident/351145,http://www.masslive.com/news/index.ssf/2015/06/springfield_police_investigati_229.html#incart_river
"June 1, 2015",Kentucky,Dawson Springs,4-H Camp Road,0,0,http://www.gunviolencearchive.org/incident/351753,http://www.14news.com/story/29224105/man-fires-shots-near-off-duty-police-officer-going-for-a-walk
"June 1, 2015",South Carolina,Sumter,Simmons Drive,0,0,http://www.gunviolencearchive.org/incident/352123,http://www.thestate.com/news/local/crime/article23117841.html
"June 1, 2015",New Mexico,Albuquerque,N/A,0,0,http://www.gunviolencearchive.org/incident/755953,https://www.justice.gov/usao-nm/pr/albuquerque-felon-pleads-guilty-unlawful-possession-firearms
"June 1, 2015",New York,Rochester (Greece),271 Greece Ridge Center Dr,1,0,http://www.gunviolencearchive.org/incident/350465,http://www.whec.com/news/stories/S3846434.shtml?cat=565
"June 1, 2015",Michigan,Detroit,15000 block of Hubbell,0,0,http://www.gunviolencearchive.org/incident/351148,http://www.detroitnews.com/story/news/local/detroit-city/2015/06/02/detroit-man-shoots-plumbers-working-home/28345121/
"June 1, 2015",Ohio,Cleveland Heights,2800 block of Avondale Avenue,0,0,http://www.gunviolencearchive.org/incident/351777,http://www.cleveland.com/cleveland-heights/index.ssf/2015/06/cleveland_heights_police_inves_7.html#incart_river
"June 1, 2015",Louisiana,New Iberia,600 block of Emery Lewis Avenue,0,2,http://www.gunviolencearchive.org/incident/351782,http://klfy.com/2015/06/01/overnight-home-invasion-suspected-in-new-iberia/
"June 1, 2015",Virginia,Waynesboro,1600 block of New Hope Road,0,0,http://www.gunviolencearchive.org/incident/356795,http://www.nbc29.com/story/29265592/waynesboro-man-charged-with-assaulting-police
"June 1, 2015",Indiana,Indianapolis,1400 block of South East Street,1,0,http://www.gunviolencearchive.org/incident/350311,http://wishtv.com/2016/06/12/impd-arrests-man-for-womans-2015-murder/
"June 1, 2015",New Jersey,Newark,Leslie St,0,1,http://www.gunviolencearchive.org/incident/760840,http://www.nj.com/essex/index.ssf/2017/01/former_corrections_officer_admits_shooting_17-year.html
"June 1, 2015",Missouri,Poplar Bluff,N/A,0,0,http://www.gunviolencearchive.org/incident/365747,http://www.semissourian.com/story/2207079.html
"June 1, 2015",Wisconsin,Madison,525 Junction Road,0,1,http://www.gunviolencearchive.org/incident/351181,http://www.channel3000.com/news/Madison-police-respond-to-report-of-man-shot-in-leg/33346746
"June 1, 2015",New Jersey,Paterson,Market and East 32nd Streets,0,0,http://www.gunviolencearchive.org/incident/352206,http://www.northjersey.com/news/sheriff-s-detectives-find-loaded-handgun-in-paterson-s-6th-ward-1.1346900
"June 1, 2015",New Jersey,Newark,North 13 Street and 6th Avenue West,0,1,http://www.gunviolencearchive.org/incident/351850,http://www.nj.com/essex/index.ssf/2015/06/man_injured_in_daytime_shooting_in_newark.html#incart_river
"June 1, 2015",New York,Buffalo,1 block of Zenner Street,0,0,http://www.gunviolencearchive.org/incident/352326,http://www.buffalonews.com/city-region/zenner-street-man-arrested-on-felony-weapons-charges-20150603
"June 1, 2015",Indiana,Fort Wayne,N/A,0,1,http://www.gunviolencearchive.org/incident/350337,http://www.journalgazette.net/news/local/police-fire/Man-shoots-self-while-cleaning-gun-6957156
"June 1, 2015",North Carolina,Charlotte,Kildare Drive,0,0,http://www.gunviolencearchive.org/incident/351455,http://www.wsoctv.com/news/news/local/cmpd-connects-recent-charlotte-shootings-neighborh/nnD2L/
