date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"May 1, 2014",South Carolina,Bluffton,Simmonsville Road ,0,0,http://www.gunviolencearchive.org/incident/131818,http://www.islandpacket.com/2014/05/02/3090727/shots-fired-at-bluffton-apartment.html
"May 1, 2014",Louisiana,Baton Rouge,South Sherwood Forest Boulevard ,0,0,http://www.gunviolencearchive.org/incident/131536,http://www.wafb.com/story/25414144/police-say-suspected-bank-robber-arrested-after-trying-to-flee-traffic-stop
"May 1, 2014",Maryland,Capitol Heights,1500 Elkwood Lane,0,1,http://www.gunviolencearchive.org/incident/131505,http://www.washingtonpost.com/local/crime/man-found-with-a-gunshot-wound-in-capitol-heights/2014/05/02/e4ed477e-d1fb-11e3-937f-d
"May 1, 2014",Ohio,Elyria,1000 Melvyn Lane,0,0,http://www.gunviolencearchive.org/incident/131171,http://www.morningjournal.com/general-news/20140430/elyria-man-charged-for-armed-weapons-evading-police-after-incident-at-ex-gir
"May 1, 2014",North Carolina,Enfield,Saturday Drive,0,0,http://www.gunviolencearchive.org/incident/137051,http://www.rrdailyherald.com/news/warrants-issued-in-enfield-home-invasion-case/article_6dba4b72-db77-11e3-a171-0019bb2963f4.htm
"May 1, 2014",Ohio,Dayton,4000 Gardendale Ave.,0,1,http://www.gunviolencearchive.org/incident/131166,http://wdtn.com/2014/05/01/teen-shot-during-cell-phone-robbery-attempt/
"May 1, 2014",Delaware,Seaford,24000 Jewell St,0,0,http://www.gunviolencearchive.org/incident/133508,http://www.delawareonline.com/story/news/crime/2014/05/05/charged-home-invasion-victims-also-face-drug-charges/8748259/
"May 1, 2014",Wisconsin,Primrose,233 Hanna Road,1,0,http://www.gunviolencearchive.org/incident/130994,http://host.madison.com/wsj/news/local/crime_and_courts/update-man-killed-after-attacking-deputies-identified/article_0d0b6d70-d
"May 1, 2014",Alabama,Tallassee,1st Avenue and Elm Street ,0,1,http://www.gunviolencearchive.org/incident/131846,http://www.montgomeryadvertiser.com/story/news/local/progress-wetumpka/2014/05/02/tallassee-pd-make-arrest-in-thursday-shooting-
"May 1, 2014",Illinois,Springfield,2100 East Capitol Avenue,0,1,http://www.gunviolencearchive.org/incident/130981,http://www.sj-r.com/article/20140502/NEWS/140509809/10513/NEWS
"May 1, 2014",Louisiana,Baton Rouge,Jefferson Highway ,0,1,http://www.gunviolencearchive.org/incident/131540,http://www.wafb.com/story/25409827/deputies-argument-leads-to-shooting
"May 1, 2014",Florida,Tallahassee,North Monroe Street ,1,0,http://www.gunviolencearchive.org/incident/138043,http://www.wctv.tv/home/headlines/Tallahassee-Police-Investigating-Hotel-Crime-Scene-257506391.html
"May 1, 2014",Minnesota,Minneapolis,Chicago and 8th St,0,1,http://www.gunviolencearchive.org/incident/131005,http://www.myfoxtwincities.com/story/25416078/hcmc-shooting-suspect-a-person-of-interest-in-epic-night-club-murder
"May 1, 2014",Delaware,Wilmington,East 24th and Market Streets,1,0,http://www.gunviolencearchive.org/incident/131863,http://www.delawareonline.com/story/news/crime/2014/05/02/witnesses-dice-game-led-murder/8642659/
"May 1, 2014",Virginia,Richmond,1300 block of Greenmoss Road,1,0,http://www.gunviolencearchive.org/incident/130867,http://www.nbc12.com/story/25399807/south-richmond-homicide-leaves-one-dead-no-arrests
"May 1, 2014",California,Van Nuys,15800 block of Saticoy Street,1,2,http://www.gunviolencearchive.org/incident/131221,http://homicide.latimes.com/post/sergio-galvan/
"May 1, 2014",Michigan,Grand Rapids,475 Lake Michigan Dr,0,0,http://www.gunviolencearchive.org/incident/130862,http://www.mlive.com/news/grand-rapids/index.ssf/2014/05/drive-by_shooting_reported_out.html#incart_river_default
"May 1, 2014",Missouri,Springfield,3232 S. Greenbrier Ave,1,0,http://www.gunviolencearchive.org/incident/299205,http://www.news-leader.com/story/news/local/ozarks/2014/12/22/judge-denies-bond-man-accused-killing-couple/20764389/
"May 1, 2014",Florida,Geneva,275 First Street,0,0,http://www.gunviolencearchive.org/incident/130985,"http://www.orlandosentinel.com/news/local/breakingnews/os-gun-geneva-elementary-school-20140501,0,1035905.story"
"May 1, 2014",Pennsylvania,Pequea,140 block of River Rd,0,0,http://www.gunviolencearchive.org/incident/131338,http://www.pennlive.com/midstate/index.ssf/2014/05/man_assaulted_child_pointed_gu.html#incart_river
"May 1, 2014",Alaska,Tanana,N/A,2,0,http://www.gunviolencearchive.org/incident/131177,http://www.adn.com/article/20150421/suspect-tampered-guns-troopers-slain-tanana-investigators-testify
"May 1, 2014",Alabama,Citronelle,16250 US-45,0,0,http://www.gunviolencearchive.org/incident/883074,https://www.justice.gov/usao-sdal/pr/felon-possession-firearm-sentenced-federal-court-4
"May 1, 2014",Washington,Moses Lake,N/A,0,0,http://www.gunviolencearchive.org/incident/441920,http://www.khq.com/story/30414344/moses-lake-man-arrested-for-2-year-long-crime-spree
"May 1, 2014",Illinois,Rock Island,900 22nd Street,0,0,http://www.gunviolencearchive.org/incident/131416,http://www.kwqc.com/story/25416711/rock-island-police-looking-for-shooter
"May 1, 2014",North Carolina,Winston-Salem,2900 Reynolda Road,0,0,http://www.gunviolencearchive.org/incident/132805,http://www.journalnow.com/news/crime/man-charged-with-armed-robbery-of-bank-and-convenience-store/article_d12412a4-d179-11e3-8d4
"May 1, 2014",Indiana,Hobart,1915 Mississippi St,0,2,http://www.gunviolencearchive.org/incident/131283,http://www.nwitimes.com/news/local/lake/man-sentenced-after-shooting-man-in-head-and-at-hobart/article_e1d000a6-5999-544e-b6fa-5181147f11f0.html
"May 1, 2014",Michigan,Saginaw,3632 Hess Ave,0,0,http://www.gunviolencearchive.org/incident/130905,http://www.mlive.com/news/saginaw/index.ssf/2014/09/21-year-old_takes_plea_deal_af.html
"May 1, 2014",New York,Buffalo,N/A,0,0,http://www.gunviolencearchive.org/incident/292424,http://www.buffalonews.com/city-region/courts/three-face-prison-terms-for-possessing-handguns-20150212
"May 1, 2014",Ohio,Dayton,Cambridge Avenue,0,1,http://www.gunviolencearchive.org/incident/130820,http://wdtn.com/2014/04/30/shooting-victim-says-suspects-busted-down-the-door/
"May 1, 2014",New York,Yonkers,N/A,1,1,http://www.gunviolencearchive.org/incident/131604,http://www.midhudsonnews.com/News/2016/April/08/Palestina_sen-08Apr16.html
