date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"February 1, 2016",Indiana,Gary,1600 block of Georgia Street,0,0,http://www.gunviolencearchive.org/incident/498330,http://www.nwitimes.com/news/special-section/crime/gary-man-accused-of-pointing-beam-shooting-at-woman/article_f11ff045-edd4-5716-960e-bb7d30e40698.html
"February 1, 2016",Missouri,Cedarcreek,N/A,0,0,http://www.gunviolencearchive.org/incident/857485,https://www.justice.gov/usao-wdmo/pr/cedarcreek-man-sentenced-15-years-illegal-firearm
"February 1, 2016",Georgia,Silver Creek,6390 Rockmart Highway,0,0,http://www.gunviolencearchive.org/incident/498348,http://www.northwestgeorgianews.com/rome/news/police_fire/report-woman-pointed-loaded-handgun-and-threatened-to-shoot-man/article_3ee82ada-c9be-11e5-b0be-5746b67123a1.html
"February 1, 2016",Indiana,Gary,12th Avenue and Washington Street,0,2,http://www.gunviolencearchive.org/incident/499760,http://www.nwitimes.com/news/local/lake/two-wounded-in-shooting-monday-in-gary/article_29d09c1e-bbd2-5b97-a1b6-648cb8b5e532.html
"February 1, 2016",Texas,Longview,800 block of Spring Street,0,0,http://www.gunviolencearchive.org/incident/500315,http://www.kcbd.com/story/31139291/man-arrested-after-longview-homeowner-thwarts-burglary
"February 1, 2016",Louisiana,Morgan City,203 Aristile Road,0,1,http://www.gunviolencearchive.org/incident/499802,http://theadvocate.com/news/police/14779769-123/assumption-deputies-woman-arrested-after-shooting-man-in-the-face-in-domestic-dispute
"February 1, 2016",Texas,Houston,3826 Rosemont,2,0,http://www.gunviolencearchive.org/incident/498079,http://thepolicenews.net/default.aspx?act=Newsletter.aspx&category=News+1-2&newsletterid=59029&menugroup=Home
"February 1, 2016",Illinois,Kankakee,N/A,0,0,http://www.gunviolencearchive.org/incident/774797,http://www.daily-journal.com/news/local/years-for-illegal-gun-possession/article_fbc70fd5-f20b-54a9-9c82-e147041d5168.html
"February 1, 2016",Illinois,Rockford,1100 block of Ferguson Street,0,0,http://www.gunviolencearchive.org/incident/501889,http://www.rrstar.com/news/20160203/weapons-and-drugs-recovered-in-rockford-drug-raid
"February 1, 2016",Texas,Corpus Christi,1800 block of Peabody Avenue,0,0,http://www.gunviolencearchive.org/incident/498380,http://ccpdblotter.com/2016/02/01/patrol-report-02012016/
"February 1, 2016",Ohio,Cincinnati,2500 block of Northbend Road,0,1,http://www.gunviolencearchive.org/incident/497569,http://www.wlwt.com/news/police-1-shot-in-mount-airy/37758788
"February 1, 2016",Colorado,Boulder,4475 N. Broadway,1,0,http://www.gunviolencearchive.org/incident/500378,http://www.dothaneagle.com/news/ap/state/arrested-after-fatal-shooting-in-north-boulder/article_7cef737c-c219-5d1d-8e33-ec061c0e6e06.html
