date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"April 1, 2017",Massachusetts,Lynn,20 Neptune St. Court,0,0,http://www.gunviolencearchive.org/incident/811713,http://www.itemlive.com/news/police-log-4-3-2017/
"April 1, 2017",Massachusetts,Lynn,26 South St,0,0,http://www.gunviolencearchive.org/incident/811715,http://www.itemlive.com/news/police-log-4-3-2017/
"April 1, 2017",Illinois,Rockford,1000 block of West Jefferson St,0,0,http://www.gunviolencearchive.org/incident/810683,http://www.rrstar.com/news/20170402/string-of-shots-fired-incidents-in-rockford-result-in-no-injuries-no-arrests
"April 1, 2017",Louisiana,New Iberia,1000 Block of Spencer Loop,1,0,http://www.gunviolencearchive.org/incident/809352,https://kadn.com/update-iberia-officer-shooting-suspect-identified/
"April 1, 2017",California,Pittsburg,100 block of Madoline Street,0,5,http://www.gunviolencearchive.org/incident/809815,http://www.nbcbayarea.com/news/local/Shooting-Birthday-Party-Pittsburg-Five-Men-Injured-417896103.html
"April 1, 2017",Michigan,Detroit,3rd Ave and Peterboro St,0,2,http://www.gunviolencearchive.org/incident/810708,https://spotcrime.com/crime/91261119-6c89694aeb349ba53e7069076b78ab37
"April 1, 2017",Michigan,Detroit,2700 Block of W Grand Blvd,0,2,http://www.gunviolencearchive.org/incident/810713,https://spotcrime.com/crime/91261116-3b50166dbbb92dd2a90faf6dbfecf5da
"April 1, 2017",Oklahoma,Tulsa,4145 E 21st St,0,1,http://www.gunviolencearchive.org/incident/813122,http://kit4combat.uk/posts/2017/04/security-guard-charged-for-accidental-shooting-at-tulsa-gun-show/?utm_campaign=referency-library&utm_medium=twitter&utm_source=twitter
"April 1, 2017",Michigan,Detroit,Monroe St and Beaubien St,0,1,http://www.gunviolencearchive.org/incident/810722,https://spotcrime.com/crime/91254672-eff4fa0b41f18d34868cd3fe9f29ab50
"April 1, 2017",Michigan,Detroit,E Warren Ave and Garland St,0,1,http://www.gunviolencearchive.org/incident/810725,https://spotcrime.com/crime/91254671-75bede6fad9389ecbf374d1433852973
"April 1, 2017",South Carolina,Rock Hill,Stoneypointe Dr,0,0,http://www.gunviolencearchive.org/incident/810546,http://www.heraldonline.com/news/local/crime/article142376219.html
"April 1, 2017",Massachusetts,Brockton,Commercial Yard,0,0,http://www.gunviolencearchive.org/incident/809329,http://www.enterprisenews.com/news/20170401/car-struck-by-gunfire-in-brockton
"April 1, 2017",Utah,Cedar City,N/A,0,0,http://www.gunviolencearchive.org/incident/810029,https://www.stgeorgeutah.com/news/archive/2017/04/02/tds-man-finally-in-custody-after-48-hours-of-erratic-behavior/#.WOGmhlLMzBI
"April 1, 2017",Illinois,Danville,Cleveland and Kentucky,0,0,http://www.gunviolencearchive.org/incident/810699,http://www.illinoishomepage.net/news/local-news/homes-struck-when-shots-fired/686415992
"April 1, 2017",California,Sacramento,Natomas Boulevard and North Park Drive,0,1,http://www.gunviolencearchive.org/incident/809364,http://www.kcra.com/article/sac-pd-search-for-armed-man-following-natomas-shooting/9218762
"April 1, 2017",Maryland,Frederick,Tuscanney Dr and Rocky Way,0,0,http://www.gunviolencearchive.org/incident/809975,https://www.fredericknewspost.com/news/crime_and_justice/frederick-police-investigate-firearm-discharge/article_f9c0cd78-b775-52f5-8d62-67f3546973c0.html
"April 1, 2017",Texas,Houston,3000 Brailsfort,1,0,http://www.gunviolencearchive.org/incident/810749,http://thepolicenews.net/default.aspx?act=Newsletter.aspx&category=News+1-2&newsletterid=66551&menugroup=Home
"April 1, 2017",Maryland,Annapolis,Market Space,0,0,http://www.gunviolencearchive.org/incident/810368,http://www.capitalgazette.com/news/for_the_record/ph-ac-cn-annapolis-gun-arrest-0404-20170403-story.html
"April 1, 2017",Illinois,Decatur,1600 block of E Whitmer St,0,1,http://www.gunviolencearchive.org/incident/875542,http://herald-review.com/news/local/crime-and-courts/decatur-man-charged-with-shooting-victim-during-attempted-robbery/article_0ab9de0b-adaf-551b-bd79-e5a9fefbac90.html
"April 1, 2017",Massachusetts,Boston,Neponset Ave and Adams St,0,0,http://www.gunviolencearchive.org/incident/836307,http://bpdnews.com/news/2017/5/4/great-work-recognized-bpd-officer-receivesgarners-commissioners-commendation-for-gun-related-arrest-in-dorchester
"April 1, 2017",Texas,Houston,500 Greens Road,0,1,http://www.gunviolencearchive.org/incident/809948,http://thepolicenews.net/default.aspx?act=Newsletter.aspx&category=News+1-2&newsletterid=66553&menugroup=Home
"April 1, 2017",California,San Diego,3200 block of 44th Street,1,1,http://www.gunviolencearchive.org/incident/809772,http://www.nbcsandiego.com/news/local/City-Heights-Shooting-Angel-Sanabaria-Arrests-Luis-Dominguez-Abraham-Torres-423194904.html
"April 1, 2017",Texas,Corpus Christi,N/A,0,0,http://www.gunviolencearchive.org/incident/810773,https://ccpdblotter.com/2017/04/03/patrol-report-april-03-2017/
"April 1, 2017",California,Big Bear City,300 block of Sugarloaf Blvd,0,0,http://www.gunviolencearchive.org/incident/812399,http://www.bigbeargrizzly.net/news/sheriff-s-log/article_29ff5600-199c-11e7-bd70-439dff0cb9aa.html
"April 1, 2017",Alaska,Akiachak,N/A,0,0,http://www.gunviolencearchive.org/incident/811833,http://alaska-native-news.com/akiachak-man-jailed-after-pointing-firearm-at-tribal-police-officer-27586
"April 1, 2017",Illinois,Chicago,800 block of N Monticello Ave,0,1,http://www.gunviolencearchive.org/incident/809708,http://chicago.suntimes.com/news/man-21-shot-in-humboldt-park/
"April 1, 2017",Oregon,Portland,NE 122nd Avenue and Glisan Street,0,0,http://www.gunviolencearchive.org/incident/811026,http://koin.com/2017/04/03/drugs-gun-found-in-car-during-portland-traffic-stop/
"April 1, 2017",New York,Yonkers,Cottage Place Gardens,0,1,http://www.gunviolencearchive.org/incident/811029,http://www.lohud.com/story/news/crime/2017/04/03/man-shot-face-yonkers/99981944/
"April 1, 2017",Alaska,Fairbanks,549 2nd Ave,0,0,http://www.gunviolencearchive.org/incident/812677,http://www.newsminer.com/news/public_safety_report/public-safety-report-april/article_8055e32a-1aa0-11e7-9888-a721761487d0.html
"April 1, 2017",Georgia,Kennesaw,West Station Drive,1,0,http://www.gunviolencearchive.org/incident/809783,http://www.11alive.com/news/crime/man-arrested-in-kennesaw-shooting-death/427697811
"April 1, 2017",Texas,Laredo,3100 block of Potomac Ct,0,3,http://www.gunviolencearchive.org/incident/810405,http://www.lmtonline.com/local/crime/article/Arrest-made-after-several-people-shot-in-south-11043723.php
"April 1, 2017",Washington,Washougal,N/A,1,0,http://www.gunviolencearchive.org/incident/812919,http://koin.com/2017/04/01/suspicious-death-investigated-near-dougan-falls/
"April 1, 2017",Washington,Tacoma,9200 block of South Park Avenue.,0,0,http://www.gunviolencearchive.org/incident/810210,http://www.thenewstribune.com/news/local/crime/article142274174.html
"April 1, 2017",California,Long Beach,3100 block of Santa Fe Ave,0,0,http://www.gunviolencearchive.org/incident/811043,http://www.presstelegram.com/general-news/20170403/police-find-gun-after-shooting-stops-gang-fight-in-long-beach
"April 1, 2017",Tennessee,Memphis,N/A,0,0,http://www.gunviolencearchive.org/incident/847686,http://www.wmcactionnews5.com/story/35459110/man-arrested-for-shooting-woman-her-son-last-year
"April 1, 2017",Illinois,Chicago,1700 block of N Central Ave,0,1,http://www.gunviolencearchive.org/incident/809705,http://chicago.suntimes.com/news/25-year-old-man-shot-in-foot-in-austin/amp/
"April 1, 2017",Illinois,Rockford,2200 block of Glenwood Ave,0,0,http://www.gunviolencearchive.org/incident/810679,http://www.rrstar.com/news/20170402/string-of-shots-fired-incidents-in-rockford-result-in-no-injuries-no-arrests
"April 1, 2017",Texas,San Antonio,1000 block of Mindie Ln,2,0,http://www.gunviolencearchive.org/incident/809291,http://www.kens5.com/news/local/police-investigating-weekend-homicide-as-murder-suicide/427492517
"April 1, 2017",West Virginia,Cowen,Meadow Fork Road,0,1,http://www.gunviolencearchive.org/incident/809594,http://wvmetronews.com/2017/04/02/webster-deputy-survives-shooting/
"April 1, 2017",Louisiana,Baton Rouge,East Buchanan,0,2,http://www.gunviolencearchive.org/incident/809507,http://www.wafb.com/story/35049599/breaking-multiple-people-injured-in-shooting-off-highland-rd
"April 1, 2017",Alabama,Birmingham,3400 block of Cliff Terrace,0,1,http://www.gunviolencearchive.org/incident/809604,http://wiat.com/2017/04/01/1-person-shot-transported-to-hospital-after-an-attempted-robbery/
"April 1, 2017",District of Columbia,Washington,4900 block of G St,0,0,http://www.gunviolencearchive.org/incident/814461,https://mpdc.dc.gov/release/mpds-weekly-firearm-recoveries-march-27th-april-3rd
"April 1, 2017",District of Columbia,Washington,2400 block of 18th St,0,0,http://www.gunviolencearchive.org/incident/814464,https://mpdc.dc.gov/release/mpds-weekly-firearm-recoveries-march-27th-april-3rd
"April 1, 2017",Ohio,Youngstown,Roy St,0,1,http://www.gunviolencearchive.org/incident/809629,http://wytv.com/2017/04/01/youngstown-police-respond-to-calls-of-apparent-shooter-on-the-loose/
"April 1, 2017",Maryland,Germantown,11700 block of Tall Pines Drive,0,1,http://www.gunviolencearchive.org/incident/809256,http://wtop.com/montgomery-county/2017/04/maryland-burglar-shot-wounded/
"April 1, 2017",Florida,Tampa,1709 N Howard Ave,0,2,http://www.gunviolencearchive.org/incident/810516,http://www.abcactionnews.com/news/local-news/two-men-shot-in-west-tampa-park-undergo-surgery-no-arrest-made
"April 1, 2017",Illinois,East Saint Louis,N 9th St and St Louis Ave,2,0,http://www.gunviolencearchive.org/incident/809490,http://www.bnd.com/news/local/crime/article143475529.html
"April 1, 2017",Kansas,Valley Center,4200 block of East 93rd Street,0,2,http://www.gunviolencearchive.org/incident/809195,http://www.kansas.com/news/local/crime/article143480874.html
"April 1, 2017",New York,Brooklyn,911 Flatbush Ave,1,0,http://www.gunviolencearchive.org/incident/809647,http://www.amny.com/news/man-shot-killed-in-brooklyn-after-soccer-game-cops-say-1.13350949
"April 1, 2017",Louisiana,Baton Rouge,1200 block of North Ardenwood Dr.,1,0,http://www.gunviolencearchive.org/incident/809427,http://www.wafb.com/story/35047646/brpd-investigating-early-morning-fatal-shooting-on-n-ardenwood
"April 1, 2017",Maryland,Baltimore,3800 block of Boarman Ave,0,1,http://www.gunviolencearchive.org/incident/810086,http://www.baltimoresun.com/news/maryland/crime/bs-md-ci-shootings-0402-20170401-story.html
"April 1, 2017",Pennsylvania,Lancaster,1 block of Hampton Lane,0,0,http://www.gunviolencearchive.org/incident/811854,http://lancasteronline.com/news/local/man-charged-after-shooting-up-ex-girlfriend-s-cars-at/article_0bff9df6-1972-11e7-9204-b3efbd92ebea.html
"April 1, 2017",Virginia,Petersburg,8018 Boydton Plank Road,0,2,http://www.gunviolencearchive.org/incident/809342,http://wtkr.com/2017/04/02/2-hospitalized-after-shooting-during-concert-at-virginia-motorsports-park/
"April 1, 2017",Michigan,Jackson,706 S Higby St,0,0,http://www.gunviolencearchive.org/incident/819082,http://www.mlive.com/news/jackson/index.ssf/2017/04/21_guns_taken_off_the_streets.html
"April 1, 2017",Florida,Jacksonville,Rosselle St,0,0,http://www.gunviolencearchive.org/incident/818166,http://www.news4jax.com/news/local/jacksonville/4-arrested-in-swat-drug-bust
