date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"July 1, 2014",Louisiana,Iberia Parish,East St. Peter Street and Bank Avenue,0,0,http://www.gunviolencearchive.org/incident/159048,http://www.iberianet.com/news/ipso-armed-robbery-suspects-sought/article_0574251a-0133-11e4-83cc-001a4bcf887a.html
"July 1, 2014",California,Cabazon,48750 Seminole Dr,0,0,http://www.gunviolencearchive.org/incident/153653,http://www.kesq.com/news/victim-says-suspects-robbed-him-at-gunpoint-at-outlet-center-in-cabazon/26760656
"July 1, 2014",Texas,Corpus Christi,1300 N. Alameda St.,0,1,http://www.gunviolencearchive.org/incident/154004,http://ccpdblotter.com/page/3/
"July 1, 2014",Louisiana,New Orleans,1200 block of N. Rocheblave Street,0,0,http://www.gunviolencearchive.org/incident/155537,http://www.wwltv.com/news/crime/NOPD-releases-sketch-of-home-invasion-suspects-265595451.html
"July 1, 2014",Iowa,Waterloo,732 Dawson St.,0,0,http://www.gunviolencearchive.org/incident/153447,http://wcfcourier.com/news/local/crime-and-courts/gunfire-hits-waterloo-home/article_fe186a15-1cd9-57ec-88d1-a3ad9911de83.html
"July 1, 2014",Michigan,Flint,Adams Avenue and Paterson Street,0,0,http://www.gunviolencearchive.org/incident/205871,http://www.mlive.com/news/flint/index.ssf/2014/10/two_flint_men_arrested_and_cha.html#incart_river
"July 1, 2014",Texas,Amarillo,8500 E. I-40,0,0,http://www.gunviolencearchive.org/incident/153994,http://amarillo.com/news/local-news/2014-07-02/police-investigating-petro-robbery
"July 1, 2014",Louisiana,New Orleans,6300 block of Chartres Street,0,1,http://www.gunviolencearchive.org/incident/155530,http://www.wwltv.com/news/crime/16-year-old-boy-shot-in-Lower-Ninth-Ward-265469571.html
"July 1, 2014",Minnesota,Minneapolis,North 42nd Avenue and Webber Parkway,0,2,http://www.gunviolencearchive.org/incident/153442,http://kstp.com/article/stories/S3491435.shtml
"July 1, 2014",Nevada,Las Vegas,5757 Wayne Newton Blvd,0,0,http://www.gunviolencearchive.org/incident/188926,http://blog.tsa.gov/2014_07_03_archive.html
"July 1, 2014",Maryland,Colora,Liddell Road ,0,1,http://www.gunviolencearchive.org/incident/153953,http://www.wbaltv.com/news/man-23-shot-in-cecil-county/26769232#!7xYGT
"July 1, 2014",Louisiana,Saint Martinville,N/A,1,0,http://www.gunviolencearchive.org/incident/155345,http://www.klfy.com/story/25915621/new-iberia-man-found-dead-in-car-suspects-at-large
"July 1, 2014",New York,Jamestown,Falconer Street,0,0,http://www.gunviolencearchive.org/incident/153439,http://www.wgrz.com/story/news/crime/2014/07/15/jamestown-shooting-robbery/12700555/
"July 1, 2014",Texas,Houston,2800 N Terminal Rd,0,0,http://www.gunviolencearchive.org/incident/188925,http://blog.tsa.gov/2014_07_03_archive.html
"July 1, 2014",Arkansas,Benton,1114 Hwy 35 North,0,0,http://www.gunviolencearchive.org/incident/153677,http://www.katv.com/story/25916339/summit-bank-in-benton-robbed-at-gunpoint
"July 1, 2014",New York,Porter,N/A,0,0,http://www.gunviolencearchive.org/incident/154261,http://wivb.com/2014/07/02/parole-officers-find-guns-in-convicted-felons-home/
"July 1, 2014",Ohio,Toledo,Cherry and East Bancroft,0,1,http://www.gunviolencearchive.org/incident/153239,http://www.toledoblade.com/local/2014/07/01/One-injured-in-North-Toledo-shooting.html
"July 1, 2014",Georgia,Dekalb County,Wesley Club Drive,1,0,http://www.gunviolencearchive.org/incident/159210,http://www.11alive.com/story/news/local/decatur/2014/07/02/wesley-club-shooting/11978789/
"July 1, 2014",Arkansas,Little Rock,2706 South Washington Street,0,0,http://www.gunviolencearchive.org/incident/153674,http://www.katv.com/story/25921617/shots-fired-as-lrpd-swats-teams-serves-warrant
"July 1, 2014",Oklahoma,Altus,600 block of north Willard,0,3,http://www.gunviolencearchive.org/incident/154128,http://www.kswo.com/story/25929945/three-men-shot-altus-police-are-investigating
"July 1, 2014",Georgia,Cordele,600 North Bay Street,0,1,http://www.gunviolencearchive.org/incident/153236,http://www.walb.com/story/25911916/gbi-cordele-woman-shot-boyfreind
"July 1, 2014",Texas,Harris County,Verde Trails Drive,0,0,http://www.gunviolencearchive.org/incident/159088,http://abc13.com/news/armed-men-fire-into-couples-home/150338/
